"ACO Name (LBN or DBA, if applicable) ",States Where Beneficiaries Reside ,Agreement Start Date,Track,Participate in Advance Payment Model ,Total Assigned Beneficiaries,Total Benchmark Expenditures,Total Expenditures,Total Benchmark Expenditures Minus Total Assigned Beneficiary Expenditures,Total Benchmark Expenditures Minus Total Assigned Beneficiary Expenditures as % of Total Benchmark,"Generated Savings/Losses1,2","Earned Shared Savings Payments/Owe Losses3,4",Successfully Reported Quality5,ACO-1,ACO-2,ACO-3,ACO-4,ACO-5,ACO-6,ACO-7,ACO-8^,ACO-9^,ACO-10^,ACO-11,ACO-12,ACO-13,ACO-14,ACO-15,ACO-16,ACO-17,ACO-18,ACO-19,ACO-20,ACO-21,DM Comp-osite,ACO-22,ACO-23,ACO-24,ACO-25,ACO-26,ACO-27^,ACO-28,ACO-29,ACO-30,ACO-31,CAD Comp-osite,ACO-32,ACO-33
"A.M. Beajow, M.D. Internal Medicine Associates ACO, P.C",Nevada,01/01/2013,Track1 ,No ,5921,$70912015,$67555873,$3356142,4.7%,$3356142,$1644510,Yes,75.6,93.09,92.18,82.91,58.06,76.36,71.33,14.88,0.67,1.14,75,72.5,1.24,25.83,22.4,31.19,64.08,0,39.41,38.12,75.48,17.76,60.28,50,58.18,53.04,28.21,32.94,61.25,13.08,27.36,,37.5,52.31,29.74
AAMC Collaborative Care Network,Maryland,01/01/2013,Track1 ,No ,10485,$92961659,$96240231,$-3278573,-3.5%,,,Yes,84.67,94.39,93.32,83.13,59.23,71.51,73.72,15.1,1.12,1.8,82.5,97.74,68.86,71.26,66.9,69.21,82.89,57.58,74.94,63.59,63.12,29.25,72.88,59.91,70.05,87.5,65.35,17.22,68.61,74.52,93.33,88.89,67.31,90.31,40.66
"Accountable Care Clinical Services, PC","Iowa, Pennsylvania, Connecticut, Massachusetts, California",01/01/2013,Track1 ,No ,19637,$211247324,$200721155,$10526169,5%,$10526169,$5157823,Yes,82.78,93.55,92.02,84.84,59.5,76.38,72.12,15.08,1.47,1.31,62.76,46.4,19.15,59.57,57.06,50.65,84.48,13.18,61.69,55.06,58.75,24.17,73.96,54.17,67.5,73.13,81.1,18.75,66.45,55.14,82.72,75,69.78,77.44,77.59
"Accountable Care Coalition of Caldwell County, LLC",North Carolina,04/01/2012,Track1 ,No ,5915,$70881173,$71400316,$-519143,-0.7%,,,Yes,80.56,92.18,91.69,89.35,51.92,74.85,69.99,14.26,0.81,0.8,47.37,59.34,9.32,45.02,35.92,41.97,59.23,3.41,51.71,63.66,77.14,2.6,57.14,43.9,57.92,13.51,72.54,35.32,50.61,32.11,71.32,75,48.17,54.09,66.31
"Accountable Care Coalition of Central Georgia, LLC.",Georgia,01/01/2013,Track1 ,No ,10589,$106323535,$107639420,$-1315885,-1.2%,,,Yes,83.09,92.72,92.24,86.74,52.24,67.97,68.83,15.37,1.55,1.39,55.56,24.49,15.1,33.4,21.86,39.72,64.93,5.2,48.25,36.34,81.23,0.79,37.89,23.16,55.79,10.79,73.38,57.11,55.88,20.22,53.01,79.55,28.12,34.84,57.56
"Accountable Care Coalition of Coastal Georgia, LLC","South Carolina, Georgia",04/01/2012,Track1 ,No ,10475,$146133176,$146775276,$-642100,-0.4%,,,Yes,76.9,92.89,91.88,86.64,55.2,74.24,69.77,14.17,1.02,1.04,90.32,25.4,27.52,48.09,48.53,51.59,84.54,16.01,58.03,68.69,89.69,4.11,64.01,58.21,68.36,13.04,62.84,28.26,71.33,50.48,75.6,80.77,52.66,66.67,50.27
"Accountable Care Coalition of DeKalb, LLC.",Georgia,01/01/2013,Track2 ,No ,18446,$154953182,$151981618,$2971564,1.9%,,,Yes,84.51,93.94,92.4,84.02,57.15,70.73,72.17,14.75,1.18,1.47,52.38,45.6,10.27,41.74,29.77,48.39,74.42,4.65,49.55,47.72,92.06,1.25,59.25,42.2,62.99,7.07,65.93,35.14,62.69,30.72,64.33,85.86,39.65,47.39,67.08
"Accountable Care Coalition of Eastern North Carolina, LLC",North Carolina,04/01/2012,Track1 ,No ,10205,$118613931,$126553616,$-7939686,-6.7%,,,Yes,82.16,92.8,91.13,86.06,55.33,75.84,72.11,14.6,0.59,1.03,37.04,52.46,7.12,52.89,37.35,40.54,52.23,3,53.87,52.63,83.96,1.46,56.59,42.44,53.66,9.76,70.73,33.66,57.67,35.29,55.88,61.9,43.65,55.8,50
"Accountable Care Coalition of Georgia, LLC.",Georgia,01/01/2013,Track1 ,No ,10569,$86425295,$84646537,$1778758,2.1%,,,Yes,73.86,92.98,89.1,84.68,55.67,72.98,70.3,14.96,1.96,1.27,,63.25,16.74,29.66,29.69,46.63,78.05,34.05,39.89,56.26,83.61,3.13,55.53,37.02,58.65,20.67,68.47,33.89,56.59,34.69,71.43,82.14,48.13,56.74,67.47
"Accountable Care Coalition of Greater Athens Georgia II, LLC.",Georgia,01/01/2013,Track1 ,No ,10525,$98178893,$95886490,$2292403,2.3%,,,Yes,76.47,91.61,91.59,85.33,50.54,71.77,71.61,14.66,1.17,1.14,70.97,45.45,20.04,44.65,38.72,40.53,71.34,4.17,42.15,42.75,86.8,3.19,56.38,45.48,63.56,13.83,65.03,39.89,62.16,51.26,69.11,92.5,50.71,62.09,58.05
"Accountable Care Coalition of Greater Athens Georgia, LLC",Georgia,04/01/2012,Track1 ,No ,9393,$103255352,$103656623,$-401271,-0.4%,,,Yes,85.59,94.77,93.98,87.99,56.73,74.19,68.8,14.9,1.23,1.35,88.46,39.06,11.58,47.47,50.69,45.83,75.44,5.32,57.14,47.61,90.99,2.53,66.92,39.14,63.89,8.33,72.5,28.03,59.47,36.5,74.21,74.29,45.48,55.8,58.82
"Accountable Care Coalition of Greater Augusta & Statesboro, LLC.","South Carolina, Georgia",01/01/2013,Track1 ,No ,21276,$200099607,$200515329,$-415722,-0.2%,,,Yes,81.05,92.66,91.93,87.93,60.72,76.3,70.16,15.38,0.98,1.31,84.62,42.26,21.65,40.99,49.11,56.4,79.68,17.62,68.19,53.41,96.75,1.86,56.41,38.23,64.1,7.93,77.48,36.36,64.29,35.14,71.83,72.22,40.77,50.72,66.99
"Accountable Care Coalition of Green Mountains, LLC",Vermont,07/01/2012,Track1 ,No ,7288,$71981171,$74401783,$-2420612,-3.4%,,,Yes,81.72,93.61,92.14,83.5,55.16,74.72,74.84,14.56,0.87,1.15,75,29.23,12.13,52.64,52.86,41.65,64.65,6.62,51.42,52.58,84.39,1.25,54.11,35.16,55.36,8.98,63.92,36.16,48.24,32.5,52.08,50,41.73,47.35,60.98
"Accountable Care Coalition of Maryland, LLC.",Maryland,07/01/2012,Track1 ,No ,13564,$174497714,$176110409,$-1612695,-0.9%,,,Yes,79.1,91.3,89.89,85.43,54.3,70.96,71.35,14.68,1.69,1.58,71.43,48.12,3.17,41.77,20.2,44.74,68.64,3.33,57.78,52.11,91.87,2.86,61.98,53.65,55.99,13.28,65.65,30.47,55,55.36,78.8,86.15,52.17,65.38,66.82
"Accountable Care Coalition of Mount Kisco, LLC","New York, Connecticut",04/01/2012,Track1 ,No ,16326,$189431358,$200210762,$-10779404,-5.7%,,,Yes,82.45,94.89,93.66,86.53,56.91,72.89,75.21,14.6,1.05,1.18,93.55,31.01,14.42,56.42,51.66,48.7,86.82,4.22,68.55,62.6,90.93,2,60.35,52.62,63.09,5.74,55.38,33.92,68.95,51.09,62.23,97.06,54.98,66.17,57.96
"Accountable Care Coalition of North Central Florida, LLC.",Florida,01/01/2013,Track1 ,No ,5548,$57792719,$60410844,$-2618125,-4.5%,,,Yes,80.25,93.87,92.25,86.18,58.89,73.41,71.09,14.96,1.15,1.45,72.73,47.22,20.66,44.75,42.12,55.56,83.4,8.12,49.46,55.23,97.02,1.39,51.52,41.55,67.04,10.53,83.22,36.84,70.6,44.15,69.51,88,51.95,60.16,71.11
"Accountable Care Coalition of North Texas, LLC.",Texas,01/01/2013,Track1 ,No ,7857,$81446276,$79931298,$1514978,1.9%,,,Yes,81.54,93.01,92.11,84.02,56.33,74.61,69.06,14.29,0.99,0.91,33.33,35,14.99,38.27,38.72,48.27,65.27,7.07,50.45,45.41,89.79,1.58,60.81,30.18,66.22,9.23,63.82,31.31,65.59,27.29,54.11,86.36,33.98,41.75,62.5
"Accountable Care Coalition of Northwest Florida, LLC","Alabama, Florida",07/01/2012,Track1 ,No ,9988,$125794256,$123062636,$2731620,2.2%,,,Yes,82.72,94.45,93.84,86.52,55.45,74.59,71.74,15.4,1.24,1.3,50,56.67,23.44,34.97,37.05,54.73,83.64,1.05,58.42,52.72,93.63,1.17,52.8,36.21,64.49,13.55,74.55,41.12,66.06,39.91,67.54,78.13,44.42,52.33,70.09
"Accountable Care Coalition of South Georgia, LLC.",Georgia,01/01/2013,Track1 ,No ,5782,$45664035,$45530111,$133924,0.3%,,,Yes,82.98,94.67,94.38,86.25,60.17,74.2,71.62,15.13,1.16,1.21,75,45.18,9.83,49.37,58.81,43.92,75.95,2.66,76.23,55.16,95.85,1.18,58.77,50.47,67.54,4.74,62.5,33.18,66.29,43.3,63.86,47.06,58.28,65.61,57.14
"Accountable Care Coalition of Southeast Wisconsin, LLC",Wisconsin,04/01/2012,Track1 ,No ,11701,$257199277,$239501973,$17697305,6.9%,$17697305,$8671679,Yes,80.56,89.86,87.81,83.06,56.41,70.68,71,15.09,1.02,1.31,31.48,46.72,14.29,25.56,32.11,26.77,58.55,5.79,34.63,38.22,84.48,2.64,56.01,40.14,59.13,19.71,64.35,37.02,54.3,39.38,61.23,85.11,42.49,53.67,64.25
"Accountable Care Coalition of Syracuse, LLC ",New York,07/01/2012,Track1 ,No ,14057,$133047092,$135514524,$-2467432,-1.9%,,,Yes,85.54,94.97,94.38,82.82,61.3,78.15,72.41,14.93,0.88,1.75,93.22,29.09,38.82,54.06,64.14,34.44,55.27,13.28,67.11,60.99,90.25,3.24,64.12,47.94,68.24,9.71,67.02,30.59,67.67,48.42,70.07,69.05,48.97,63.59,48.94
"Accountable Care Coalition of Texas, Inc.",Texas,04/01/2012,Track1 ,No ,33739,$538174072,$519077361,$19096711,3.5%,$19096711,$9357388,Yes,77.79,92.14,91.64,86.78,54.78,74.5,70.84,13.89,1.02,1.01,65.29,80.43,24.57,49.23,48.39,49.17,56.74,17.64,52.56,46.52,77.89,2.75,55.65,40.5,63.64,11.02,66.67,36.09,61.67,43.03,55.78,89.8,42.96,51.89,65.05
"Accountable Care Coalition of The Tri-Counties, LLC",South Carolina,07/01/2012,Track1 ,No ,18155,$220564017,$223134236,$-2570219,-1.2%,,,Yes,82.51,93.68,93.15,87.47,61.64,74.31,70.91,14.75,1.39,1.21,92,49.16,27.75,49.48,48.61,50.87,87.37,31.46,57.84,64.99,98.23,3.92,67.54,52.07,69.5,11.11,81.58,25.05,67.74,58.44,86.08,96.59,59.79,71.13,65.94
"Accountable Care Coalition of Western Georgia, LLC","Georgia, Alabama",01/01/2013,Track1 ,No ,7702,$75650689,$74123357,$1527332,2%,,,Yes,76.35,92.98,92.39,88.65,57.25,71.8,67.44,15.07,0.91,1.32,81.48,36.53,8.36,44.19,37.37,39.05,55.75,1.39,51.72,59.68,92.89,1.96,52.32,35.45,61.86,10.27,58.45,41.08,64.34,35.7,50.59,85.19,44.5,54.93,54.45
"Accountable Care Options, LLC",Florida,07/01/2012,Track1 ,No ,6962,$115534231,$102788044,$12746187,11%,$12746187,$6245631,Yes,80.79,92.38,89.82,85.34,58.28,71.51,71.78,15.12,1.12,1.29,33.33,98.77,70.67,32.82,50.88,87.27,94.56,39.31,45.42,52.12,98.41,25.19,76.59,65.14,78.37,62.09,83.87,13.49,76.19,71.43,85.32,87.5,82.82,92.05,75.14
"Accountable Care Organization of New England, LLC","Massachusetts, Connecticut",01/01/2013,Track1 ,No ,12258,$143798876,$146571308,$-2772432,-1.9%,,,Yes,82.47,91.21,91.17,83.63,58.52,76.17,71.14,15.4,1.35,1.87,57.63,74.95,47.62,62.22,48.96,71.3,89.37,25.57,63.43,72.45,77.74,21.3,72.38,54.87,70.4,65.88,86.67,18.77,73.25,56.02,80.67,86.05,59.03,70.18,67.25
"Accountable Care Organization of Puerto Rico, Inc.",Puerto Rico,01/01/2013,Track1 ,No ,5775,$28955262,$28728017,$227245,0.8%,,,No,81.38,94.74,94.82,79.67,60.38,76.4,59.16,15.8,1.25,1.6,2.01,,,,,,,,,,,,,,,,,,,,,,,,
"Accountable Care Organization of the North Country, LLC",New York,04/01/2012,Track1 ,No ,5879,$69726454,$74474537,$-4748083,-6.8%,,,Yes,82.97,93.28,92.15,85.31,55.57,76.86,71.52,15.42,1.45,1.55,66.67,41.48,16.4,51.77,41.54,52.37,91.1,3.07,56.39,49.75,92.42,2.61,56.52,40.58,77.68,11.88,75.54,36.81,77.57,35.32,64.68,94.44,46.51,55.01,64.82
"Accountable Care Partners, LLC",Florida,07/01/2012,Track1 ,Yes ,6616,$86857397,$86643652,$213744,0.2%,,,Yes,84.36,94.11,93.62,85.61,61.34,75.55,71.25,14.52,1.39,1.74,70,97.13,67.6,36.6,44.28,75,90.83,39.93,54.59,55.08,45.41,24.45,70.46,47.88,73.01,80.81,79.8,22.92,72.88,52.34,83.45,92.68,78.5,87.35,81.05
"Accountable Healthcare Alliance, PC",Michigan,07/01/2012,Track1 ,No ,6503,$89128047,$87126446,$2001601,2.2%,,,No*,81.16,92.88,91.56,85,60.36,73.53,70.7,15.01,1.34,0.9,69.57,96.97,44.94,64.01,32.15,57.48,84.09,42.98,56.97,60.57,99.16,20.63,65.28,57.94,74.21,69.84,69.23,24.8,72.11,56.58,69.96,93.33,74.54,84.01,77.25
Advocare Well Network,New Jersey,01/01/2013,Track1 ,No ,13415,$143561323,$149634118,$-6072795,-4.2%,,,Yes,80.92,94.45,92.61,81.1,60.26,73.85,69.43,16.35,1.68,1.45,81.94,100,72.22,44.44,60.24,74.87,93.06,19.86,43.46,38.06,49.69,17.6,65.57,53.38,77.56,64.8,1.71,24.56,77.61,51.95,9.84,18.18,34.85,54.29,27.41
"Advocate Physician Partners Accountable Care, Inc.",Illinois,07/01/2012,Track1 ,No ,139369,$1971054550,$1968199107,$2855443,0.1%,,,Yes,84.76,93.37,91.96,86.67,63.72,76,70.57,15.36,1.37,1.18,77.37,83.69,51.53,52.9,54.05,80.65,96.46,69.77,60.93,71.09,86.32,25.97,73.21,62.17,75.26,74.85,82.47,17.38,73.11,61.44,90.55,86.21,67.22,75.65,77.12
"Affiliated Physicians Medical Group ACO, Inc.",California,01/01/2013,Track1 ,No ,8588,$116371218,$117206594,$-835376,-0.7%,,,Yes,75.48,87.69,89.01,81.83,49.59,74.3,70.07,14.78,1.01,0.84,35.14,27.78,3.85,80,55.68,75,77.11,15.12,44.32,55.81,93.15,1.25,62.5,52.5,81.25,1.25,0,35,92.86,56,0,,30.3,50,0
"Akira Health, Inc.",California,01/01/2013,Track1 ,No ,3946,$54651960,$62293833,$-7641873,-14%,,,Yes,80.79,94.15,92.61,87.18,60.63,75.87,70,15.36,0.6,1.09,57.89,76.81,5.51,30.62,17.79,49.3,67.45,0.54,25.43,59.57,74.74,30.98,69.57,61.41,71.74,80.43,66,23.91,53.09,54.04,63.24,100,63.33,68.52,69.44
"Alegent Health Partners, LLC","Nebraska, Iowa",01/01/2013,Track1 ,No ,23852,$194307433,$195646882,$-1339450,-0.7%,,,Yes,83.51,93.72,92.93,86.01,53.26,76.19,71.74,14.84,1.89,1.19,85.06,98.51,40.36,66.5,66.18,37.9,75.41,35.71,50,61.37,71.51,38.05,78.65,70.53,74.25,79.58,88.83,9.51,72.27,64.97,96.33,94.67,66.85,70.26,90.65
Alexian Brothers Accountable Care Organization,Illinois,01/01/2013,Track1 ,No ,19032,$248107104,$263586184,$-15479080,-6.2%,,,Yes,85.23,92.61,92.38,86.48,60.5,76.27,69.61,15.78,1.49,1.23,67.83,83.37,30.35,43.49,37.29,60.53,69.11,32.68,51.91,51.81,49.05,25.05,67.88,57.37,75.15,81.21,50,24.44,72.01,50.1,61.49,90.4,53.91,63.67,60.29
"Allcare Options, LLC",Florida,07/01/2012,Track1 ,No ,5796,$90520697,$83303710,$7216988,8%,$7216988,$0,No,77.89,90.25,89.71,84.2,56.1,70.56,72.96,15.34,2.02,1.78,83.33,,,,,,,,,,,,,,,,,,,,,,,,
Amarillo Legacy Medical ACO,Texas,01/01/2013,Track1 ,No ,10876,$91650499,$86766644,$4883855,5.3%,$4883855,$2393089,Yes,76.7,92.61,92.23,86.48,56.87,72.23,70.43,13.38,0.65,1.08,86.49,93.7,31.69,37.75,38.95,43.99,56.54,20.57,36.36,38.2,64.74,10.7,70.04,55.64,71.4,36.58,63.33,17.51,70.03,52.79,81.52,93.62,55.56,63.59,68.83
"American Health Alliance, LLC",Florida,01/01/2013,Track1 ,Yes ,6674,$78311435,$76681291,$1630144,2.1%,,,Yes,80.5,91.16,88.69,82.93,55.71,72.62,71.94,14.69,0.87,1.11,55.56,95.93,1.47,68.84,24.8,68.73,81.27,26.14,52.63,76.63,84.42,12.46,48.15,35.02,59.26,57.41,74.5,46.97,62.1,42.81,72.95,8.55,50.92,58.25,72.89
American Health Network of Ohio PC,Ohio,01/01/2013,Track1 ,Yes ,8063,$93651884,$94555952,$-904068,-1%,,,Yes,84.32,93.78,92.34,86.52,55.62,75.04,72.85,15.96,1.45,1.14,84.09,21.59,4.95,47.03,47.85,29.11,73.44,4.36,45.51,30.64,21.22,10.79,60.1,48.29,64.55,35.45,35.03,30.99,61.29,41.69,63.33,100,41.27,45.38,64.76
"AnewCare Collaborative, LLC ","Virginia, Tennessee",07/01/2012,Track1 ,No ,17346,$197915617,$183840966,$14074651,7.1%,$14074651,$6896579,Yes,83.95,95.34,94.15,86.92,56.01,79.58,70.56,15.13,1.45,1.41,67.62,90.17,34.54,62.76,47.28,61.55,86.07,4.37,52.38,59.24,47.07,20.75,69.64,51.8,61.75,72.38,73.9,17.84,59.87,54.91,84.03,62.34,64.84,70.67,72.26
"APCN-ACO, A Medical Professional Corporation",California,01/01/2013,Track1 ,No ,8362,$97626841,$101445108,$-3818267,-3.9%,,,Yes,80.35,87.5,88.4,81.08,55.11,73.99,67.84,15.05,0.38,1.36,30,35.19,26.68,70.02,31.03,49.88,72.67,25.91,36.34,50,96.54,0.6,60.66,49.25,77.78,4.8,1.8,33.63,67.06,48.65,3.15,0,35.25,51.7,14.16
ApolloMed Accountable Care Organization Inc. ,California,07/01/2012,Track1 ,No ,10269,$236117493,$225132560,$10984933,4.7%,$10984933,$5382617,Yes,78.66,91.33,91.04,89.79,63.19,80.22,67.55,15.37,1.65,1.37,48.48,66.67,22.31,47.98,25.16,49.8,55.4,6.05,32.17,29.31,62.47,3.57,27.73,21.01,65.97,43.91,66.2,66.39,66.52,15.21,57.71,86.67,16.63,24.95,51.6
"AppleCare Medical ACO, LLC",California,04/01/2012,Track1 ,No ,9330,$186341098,$187495584,$-1154486,-0.6%,,,Yes,82.85,92.8,93.77,83,56.93,74.79,69.41,14.39,1.13,1.06,33.33,50.68,17.84,36.15,28.62,48.15,59.41,1.55,44.93,32.24,53.24,9.85,40.26,31.29,65.86,59.3,59.87,49.67,64.78,28.6,73.87,90.24,37.2,43.97,64.34
Arizona Care Network LLC ,Arizona,01/01/2013,Track1 ,No ,27401,$317441504,$327059693,$-9618189,-3%,,,Yes,78.58,91.04,90.07,83.41,58.93,77.78,71.5,15.5,0.86,1.31,32.25,82.14,29.6,40.75,30.72,64.31,80.86,26.23,50.7,62.26,92.24,24.21,63.69,51.77,72.81,83.24,83.57,29.61,67.75,47.17,85.92,81.58,68.45,80.73,59.5
Arizona Priority Care Plus,Arizona,07/01/2012,Track1 ,No ,9786,$112560654,$112163846,$396807,0.4%,,,Yes,82.32,94.22,92.82,87.78,56.68,75.18,72.31,14.47,0.69,0.99,33.33,69.4,14.71,33.99,23.55,70.03,73.89,12.94,40.5,71.38,99.05,17.59,69.06,49.84,67.1,66.45,67.06,23.13,66.45,46.38,82.13,86.67,44.03,50.19,73.68
Asian American Accountable Care Organization ,New York,07/01/2012,Track1 ,No ,14769,$161975470,$160113015,$1862456,1.1%,,,Yes,72.17,87.75,90.03,80.2,55.63,76.73,71.39,15.44,0.78,0.76,32.38,96.23,63.66,82.2,65.12,85.71,94.81,63.94,63.53,63.89,93.24,42.26,81.15,69.25,80.16,91.07,87.37,10.12,77.64,73.97,89.8,91.78,91.23,96.06,90.8
Atlantic ACO,"New Jersey, Pennsylvania",04/01/2012,Track1 ,No ,73694,$1114417958,$1145132068,$-30714110,-2.8%,,,Yes,79.31,93.74,93.31,84.04,58.65,73.53,73.39,15.37,1.13,1.22,52.86,86.8,36.12,60.14,54.24,63.47,87.36,23.59,60.23,53.15,84.38,27.27,74.18,59.09,74.55,75.27,83.06,19.27,71.72,63.86,89.48,94.57,78.18,86.61,77.78
"AtlantiCare Health Solutions, Inc.",New Jersey,01/01/2013,Track1 ,No ,12286,$104432087,$117352999,$-12920912,-12.4%,,,Yes,79.53,94.33,92.69,84.02,56.97,73.33,72.5,14.83,0.85,1.51,76.92,81.15,19.9,67.31,42.55,72.61,94.56,26.12,55.98,44.32,70.29,30.1,73.3,62.38,72.33,85.19,83.87,16.75,68.55,61.07,80.05,60.23,62.8,76.26,56.82
Aurora Accountable Care Organization LLC ,Wisconsin,07/01/2012,Track1 ,No ,9256,$124601944,$132510273,$-7908329,-6.3%,,,Yes,83.42,94.02,92.68,86.62,53.8,74.62,69.69,14.62,1.39,1.22,94,96.85,31.37,69.42,84.19,52.98,96.23,0.51,68.84,64.99,55.48,33.41,78.8,58.29,77.19,89.4,84,13.13,73.35,63.82,89.4,76.19,58.93,66.82,63.7
Balance ACO,"New Jersey, New York",07/01/2012,Track1 ,No ,10459,$208786843,$234259597,$-25472755,-12.2%,,,Yes,77.21,91.29,90.45,85.27,63.69,71.49,66.75,17.96,1.96,1.32,25.48,90.87,63.28,61.24,46,77.87,89.93,58.02,56.9,67.97,90.48,20.34,64.18,50,73.88,71.64,83.42,27.24,71.26,56.17,81.97,80.51,84.67,88.92,90.56
"Barnabas Health ACO-North, LLC",New Jersey,07/01/2012,Track1 ,No ,11173,$171959589,$174005311,$-2045723,-1.2%,,,Yes,83.44,93.83,92.38,86.19,58.03,73.35,70.22,14.51,1.55,1.54,57.38,50.76,21.71,52.57,33.16,55.71,88.73,19.31,56.09,49.16,91,24.67,63.44,50.22,70.7,83.92,79.02,26.65,65.66,51.57,83.02,90.11,61.64,67.45,69.46
